month,avg_temperature,avg_precipitation,max_wind_speed
1,3.519354838709677,0.7064516129032258,23.0
2,2.792857142857143,1.0535714285714286,25.3
3,8.44516129032258,3.2225806451612904,24.6
4,13.620000000000001,2.746666666666667,24.7
5,18.27741935483871,7.032258064516129,22.8
6,23.5,9.473333333333333,19.1
7,29.116129032258065,4.461290322580646,21.7
8,29.283870967741933,4.135483870967741,19.0
9,25.923333333333336,6.246666666666667,19.5
10,19.04516129032258,4.9,16.3
11,10.906666666666666,1.32,20.9
12,6.612903225806452,1.967741935483871,21.3
